firstpost_date,content
06-03-2015,""" $TWTR is in a unique place because they are becoming branded around news flow."" Gene Munster on #PreMarket Prep http://t.co/pVKPRs4HaO"
17-03-2015,$TWTR: Brean Capital starts at Buy
20-03-2015,Twitter $TWTR Seen as Ultimate #MarchMadness Play http://t.co/VPdo534AQM
12-03-2015,Is #Meerkat ready to sellout to $TWTR or $FB? Here's what the CEO told us http://t.co/9ZbX3FxRqQ http://t.co/HRmCQohQhO
02-03-2015,Hilarious title https://t.co/PLkiZbpS3S go $STUDY $TWTR
21-03-2015,The Best Advice EVER http://t.co/JfYQ1NW3Hy go $STUDY it $TWTR
04-03-2015,"""You can Google it"" ""He tweets"" ""Armed with... YouTube"" ""Deadly game of thrones""  #NetanyahuSpeech • $TWTR $GOOG #GoT http://t.co/liLW1YoLjo"
07-03-2015,"#BlackOutDay: Trending Twitter Hashtag Celebrates Black People, Fights ...… http://t.co/udkRzxOy82 #Twitter • $TWTR http://t.co/5N59prXhJ0"
02-03-2015,Comparing America's Next 3 Internet Information Providers http://t.co/2ELEFo4cbj $LNKD $TRIP $TWTR
01-03-2015,Special bonus video http://t.co/XPlFpODber FREE 90-minute http://t.co/EcfUM6l2S3 webinar I gave the other day $STUDY $TWTR
14-03-2015,"Love/hate story: http://t.co/ZoXaBbsZiX yup, but also amazing $FB $TWTR $LNKD"
11-03-2015,Twitter Approaching Danger Zone: A Technical Look $TWTR http://t.co/NGAq923x28 @spus
21-03-2015,$TWTR below today's open not what we wanted to see. Still holding
11-03-2015,"Meerkat CEO @benrbn tells me on @SquawkAlley he wouldn't sell to $TWTR or $FB for, as I put it, ""a couple billion dollars"""
19-03-2015,There goes $TWTR   .... eyes on 47.72 level then 50.14
02-03-2015,"Some AMAZING new blog posts from http://t.co/TBKSJSWiXD bloggers, let's see your watchlists $DIA $QQQ $SPY market thoughts $FB $TWTR $STUDY"
03-03-2015,These rumors really need to stop. $TWTR $GOOGL
17-03-2015,Apple could buy all of Twitter with about 175 days worth of profits... $TWTR $AAPL
05-03-2015,ALWAYS correct lies like this http://t.co/q7vtS8jqj4 gotta learn $FB $TWTR $LNKD
06-03-2015,Find what makes you happy in life http://t.co/oaJQYJeXHA that's my secret $FB $TWTR $LNKD
05-03-2015,Remember when @dickc said he'd take care of trolls? He meant giving them free reign on Twitter over conservatives. #tcot #ocra @Wsj $TWTR
06-03-2015,This giveaway is REAL http://t.co/KASJFZPpSP get excited $FB $TWTR $LNKD gonna help SO many!
13-03-2015,Lawmakers ask Twitter to fight terrorist tweets - http://t.co/41vUtQeJxx… http://t.co/Kdql8ZBPEr #Twitter • $TWTR http://t.co/YbnptC6Xyu
19-03-2015,$TWTR Hourly chart looks..... Grrreeeaaaattt !! http://t.co/CdaYVEQY3P
15-03-2015,Who will be the next http://t.co/IYL0B2zJQd &amp; http://t.co/tgVqDSlWSE I'm very curious $FB $TWTR $LNKD peeps who wants it the most? $STUDY
19-03-2015,"http://t.co/8M66fWeho8 New http://t.co/e6WZUKD6Hd longterm newsletter trade alert, nice profit due to media hype! $STUDY $TWTR"
11-03-2015,The first screenshots of #@steam_games's #Source2 engine look incredible $TWTR http://t.co/vvtmjbKTh5 http://t.co/3ijwDBAGI7
18-03-2015,$TWTR for those of you that missed it: The bull case on #Twitter http://t.co/ajz8KziLI6
20-03-2015,$TWTR making the move to the top of the triangle base. See if it can break here. (holding)
